,epoch,loss_train,loss_val,accuracy_train,accuracy_val
0,0,tensor(0.1703),tensor(0.1196),tensor(0.9552),tensor(0.9632)
1,1,tensor(0.0869),tensor(0.0681),tensor(0.9705),tensor(0.9769)
2,2,tensor(0.0642),tensor(0.0682),tensor(0.9779),tensor(0.9767)
3,3,tensor(0.0594),tensor(0.0607),tensor(0.9796),tensor(0.9791)
4,4,tensor(0.0564),tensor(0.0597),tensor(0.9805),tensor(0.9795)
5,5,tensor(0.0538),tensor(0.0640),tensor(0.9812),tensor(0.9794)
6,6,tensor(0.0522),tensor(0.0592),tensor(0.9816),tensor(0.9789)
7,7,tensor(0.0493),tensor(0.0576),tensor(0.9825),tensor(0.9797)
8,8,tensor(0.0486),tensor(0.0579),tensor(0.9827),tensor(0.9799)
9,9,tensor(0.0457),tensor(0.0571),tensor(0.9836),tensor(0.9800)
10,10,tensor(0.0437),tensor(0.0612),tensor(0.9840),tensor(0.9800)
11,11,tensor(0.0424),tensor(0.0589),tensor(0.9844),tensor(0.9792)
12,12,tensor(0.0403),tensor(0.0686),tensor(0.9856),tensor(0.9744)
13,13,tensor(0.0380),tensor(0.0624),tensor(0.9861),tensor(0.9800)
14,14,tensor(0.0363),tensor(0.0647),tensor(0.9868),tensor(0.9801)
15,15,tensor(0.0344),tensor(0.0685),tensor(0.9871),tensor(0.9800)
16,16,tensor(0.0326),tensor(0.0649),tensor(0.9878),tensor(0.9782)
17,17,tensor(0.0302),tensor(0.0677),tensor(0.9891),tensor(0.9797)
18,18,tensor(0.0286),tensor(0.0692),tensor(0.9894),tensor(0.9792)
19,19,tensor(0.0275),tensor(0.0703),tensor(0.9898),tensor(0.9793)
20,20,tensor(0.0261),tensor(0.0717),tensor(0.9905),tensor(0.9790)
21,21,tensor(0.0244),tensor(0.0736),tensor(0.9909),tensor(0.9787)
22,22,tensor(0.0233),tensor(0.0767),tensor(0.9915),tensor(0.9782)
23,23,tensor(0.0219),tensor(0.0802),tensor(0.9919),tensor(0.9790)
24,24,tensor(0.0205),tensor(0.0819),tensor(0.9925),tensor(0.9777)
25,25,tensor(0.0195),tensor(0.0844),tensor(0.9931),tensor(0.9782)
26,26,tensor(0.0183),tensor(0.0955),tensor(0.9934),tensor(0.9787)
27,27,tensor(0.0177),tensor(0.0886),tensor(0.9934),tensor(0.9785)
28,28,tensor(0.0165),tensor(0.0900),tensor(0.9938),tensor(0.9786)
29,29,tensor(0.0155),tensor(0.0962),tensor(0.9942),tensor(0.9779)
