,epoch,loss_train,loss_val,accuracy_train,accuracy_val
0,0,tensor(0.1780),tensor(0.1051),tensor(0.9429),tensor(0.9644)
1,1,tensor(0.0838),tensor(0.0692),tensor(0.9716),tensor(0.9760)
2,2,tensor(0.0649),tensor(0.0667),tensor(0.9779),tensor(0.9774)
3,3,tensor(0.0600),tensor(0.0619),tensor(0.9792),tensor(0.9788)
4,4,tensor(0.0567),tensor(0.0614),tensor(0.9802),tensor(0.9789)
5,5,tensor(0.0537),tensor(0.0589),tensor(0.9813),tensor(0.9798)
6,6,tensor(0.0516),tensor(0.0598),tensor(0.9820),tensor(0.9797)
7,7,tensor(0.0496),tensor(0.0580),tensor(0.9826),tensor(0.9795)
8,8,tensor(0.0475),tensor(0.0577),tensor(0.9830),tensor(0.9800)
9,9,tensor(0.0466),tensor(0.0575),tensor(0.9835),tensor(0.9800)
10,10,tensor(0.0441),tensor(0.0589),tensor(0.9841),tensor(0.9789)
11,11,tensor(0.0417),tensor(0.0575),tensor(0.9849),tensor(0.9801)
12,12,tensor(0.0392),tensor(0.0597),tensor(0.9859),tensor(0.9799)
13,13,tensor(0.0375),tensor(0.0609),tensor(0.9866),tensor(0.9787)
14,14,tensor(0.0354),tensor(0.0627),tensor(0.9873),tensor(0.9786)
15,15,tensor(0.0338),tensor(0.0661),tensor(0.9879),tensor(0.9797)
16,16,tensor(0.0315),tensor(0.0662),tensor(0.9888),tensor(0.9799)
17,17,tensor(0.0293),tensor(0.0691),tensor(0.9895),tensor(0.9799)
18,18,tensor(0.0278),tensor(0.0694),tensor(0.9902),tensor(0.9793)
19,19,tensor(0.0257),tensor(0.0721),tensor(0.9908),tensor(0.9791)
20,20,tensor(0.0236),tensor(0.0736),tensor(0.9919),tensor(0.9779)
21,21,tensor(0.0228),tensor(0.0774),tensor(0.9920),tensor(0.9795)
22,22,tensor(0.0212),tensor(0.0817),tensor(0.9925),tensor(0.9794)
23,23,tensor(0.0197),tensor(0.0799),tensor(0.9933),tensor(0.9790)
24,24,tensor(0.0191),tensor(0.0804),tensor(0.9934),tensor(0.9776)
25,25,tensor(0.0179),tensor(0.0924),tensor(0.9937),tensor(0.9793)
26,26,tensor(0.0162),tensor(0.0856),tensor(0.9947),tensor(0.9785)
27,27,tensor(0.0166),tensor(0.0830),tensor(0.9945),tensor(0.9785)
28,28,tensor(0.0161),tensor(0.0877),tensor(0.9943),tensor(0.9786)
29,29,tensor(0.0127),tensor(0.0939),tensor(0.9956),tensor(0.9783)
